Header Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,VC5348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Plan,Rev(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Date,2013/6/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Section,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Test Item,Site No,Device ID,Idle_H_Vbat_880,Idle_H_Vcc_880,Idle_H_Total_880,Pin_H_880,Pout_H_880,Gain_H_880,Icc_H_Vbat_880,Icc_H_Vcc_880,Icc_H_Total_880,PAE_H_Total_880,ACP_L_H_880,ACP_U_H_880,ALT_L_H_880,ALT_U_H_880,EVM_H_880,2fo_H_880,3fo_H_880,Pin_H_915,Pout_H_915,Gain_H_915,Icc_H_Vbat_915,Icc_H_Vcc_915,Icc_H_Total_915,PAE_H_Total_915,ACP_L_H_915,ACP_U_H_915,ALT_L_H_915,ALT_U_H_915,EVM_H_915,2fo_H_915,3fo_H_915,Leakage_Current,Test Time,Index Time
Low Tolerance,,,5,10,10,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,5,,
High Tolerance,,,5,10,10,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,0.2,,,1,30,30,,1.5,1.5,1.5,1.5,0.5,1.5,1.5,5,,
Enable,,,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,1,,
11,1,11,2.325444444,69.46211111,71.78722222,-0.178955556,26.98344444,27.09033333,5.891222222,352.899,358.7895556,40.924,-39.49655556,-38.7748,-53.65111111,-53.02317778,1.3578,-12.70633333,-27.60288889,-0.226688889,26.97255556,27.50966667,5.963222222,355.7667778,361.7291111,40.49244444,-37.37908889,-36.30997778,-52.06973333,-51.48486667,2.1918,-13.20433333,-30.20855556,0.392333333,0,0
12,1,12,2.336111111,70.62744444,72.96388889,-0.417955556,26.98077778,27.32666667,5.746555556,347.198,352.9438889,41.565,-39.43022222,-38.82246667,-53.55511111,-53.06284444,1.4008,-12.709,-28.64322222,-0.418022222,26.96022222,27.68933333,5.873888889,349.9451111,355.8184444,41.03677778,-37.43475556,-36.63997778,-52.61173333,-52.3072,2.1918,-13.983,-31.73155556,0.393,0,0
13,1,13,2.276777778,66.83444444,69.11122222,-0.182622222,26.98111111,27.092,5.815222222,350.6366667,356.4512222,41.16966667,-39.63955556,-39.23913333,-53.93044444,-53.29251111,1.265133333,-12.71166667,-26.99155556,-0.332022222,26.97088889,27.61333333,5.939888889,353.8161111,359.7564444,40.69411111,-39.12075556,-37.89964444,-52.44073333,-51.75086667,1.720133333,-12.96466667,-29.12522222,0.408333333,0,0
14,1,14,2.427444444,74.35444444,76.78188889,-0.707955556,26.97977778,27.61566667,5.937222222,352.714,358.6508889,40.905,-40.33855556,-39.89713333,-54.54411111,-53.92417778,1.209466667,-12.707,-28.40755556,-0.762688889,26.97588889,28.04866667,6.022555556,355.8011111,361.8231111,40.51344444,-38.87975556,-37.79297778,-53.0884,-52.50353333,1.835466667,-13.11766667,-31.00722222,0.401333333,0,0
15,1,15,2.419777778,72.89611111,75.31622222,-0.183955556,26.98077778,27.093,5.873222222,350.9903333,356.8625556,41.116,-39.45488889,-38.9318,-53.56977778,-53.10784444,1.384466667,-12.708,-28.54522222,-0.172022222,26.97322222,27.45533333,5.996888889,353.4704444,359.4671111,40.74477778,-37.30508889,-36.44731111,-52.47973333,-52.15286667,2.2428,-13.035,-32.35855556,0.395,0,0
16,1,16,2.461777778,73.20577778,75.66755556,0.633711111,26.98711111,26.28133333,5.981888889,359.0196667,365.0005556,40.27366667,-40.26722222,-40.43746667,-54.34611111,-54.02151111,1.121466667,-12.71933333,-26.48122222,0.326311111,26.96922222,26.95333333,6.114888889,361.3834444,367.4977778,39.83444444,-41.14475556,-40.06597778,-53.5074,-53.12153333,1.205133333,-12.889,-29.26388889,0.39,0,0
17,1,17,2.352444444,70.80177778,73.15455556,-0.371955556,26.97811111,27.27833333,5.867555556,349.739,355.6058889,41.23766667,-39.97355556,-39.44846667,-54.11144444,-53.47351111,1.244466667,-12.708,-27.62355556,-0.462022222,26.97822222,27.751,5.895555556,353.2654444,359.1604444,40.82977778,-38.57375556,-37.46364444,-52.64273333,-52.03486667,1.8468,-13.08733333,-29.93488889,0.387,0,0
18,1,18,2.377777778,71.85611111,74.23322222,0.120377778,26.96544444,26.77333333,5.865888889,353.2033333,359.0685556,40.725,-40.38788889,-40.5678,-54.63644444,-54.24117778,1.075466667,-12.71266667,-26.93055556,-0.052355556,26.97155556,27.334,5.961888889,356.5294444,362.4911111,40.39611111,-41.25342222,-40.17297778,-53.65306667,-53.27386667,1.2028,-12.97233333,-29.91455556,0.391333333,0,0
19,1,19,2.346444444,69.96744444,72.31355556,0.657377778,26.98544444,26.25666667,5.882555556,356.8796667,362.7618889,40.503,-39.84388889,-40.05113333,-54.08211111,-53.77484444,1.099133333,-12.726,-26.83255556,0.459977778,26.97455556,26.82533333,6.059222222,358.2644444,364.3231111,40.22711111,-40.71875556,-39.61131111,-53.0614,-52.6992,1.2878,-12.79066667,-29.58855556,0.392,0,0
20,1,20,2.448777778,73.85177778,76.30055556,-0.047288889,26.98177778,26.95733333,5.917888889,354.84,360.7572222,40.689,-40.17522222,-39.96813333,-54.19977778,-53.73617778,1.203466667,-12.71433333,-27.84522222,-0.185688889,26.96355556,27.45933333,5.950555556,356.1437778,362.0941111,40.36777778,-39.41642222,-38.35264444,-53.00306667,-52.54453333,1.642133333,-12.884,-30.78322222,0.391,0,0
21,1,21,2.434333333,72.15693333,74.5914,0.151133333,26.9614,27.15766667,6.308533333,383.8026,390.1108667,37.451,-39.7386,-40.40606667,-52.32686667,-52.27046667,1.391333333,-12.609,-25.9066,0.205533333,26.97226667,27.658,6.430066667,388.5008,394.9310667,37.087,-41.51426667,-41.21553333,-52.8998,-52.47733333,1.4674,-12.84833333,-28.24406667,4.655666667,421.8266667,916819.3333
22,1,22,2.386333333,72.37093333,74.7574,-0.4622,26.97106667,27.78066667,6.2142,380.4572667,386.6718667,37.86633333,-39.47826667,-39.82173333,-51.99786667,-51.89013333,1.435,-12.602,-27.4216,-0.151133333,26.9666,28.009,6.1804,383.5984667,389.7790667,37.52533333,-40.46326667,-39.9332,-52.3788,-51.93633333,1.7164,-12.853,-29.48306667,4.657666667,386.179,42934
23,1,23,2.569,77.7866,80.35506667,-0.037533333,26.9754,27.361,6.4022,387.8026,394.2045333,37.18766667,-39.29193333,-39.94073333,-52.37486667,-52.3448,1.455,-12.60833333,-26.3376,-0.024466667,26.96626667,27.882,6.4054,391.5431333,397.9484,36.757,-41.36126667,-41.22253333,-53.2508,-52.86266667,1.481733333,-12.85433333,-29.1254,4.659666667,398.5843333,16215.33333
24,1,24,2.312666667,69.37426667,71.68673333,0.216466667,26.96773333,27.09866667,6.230866667,386.3736,392.6042,37.27,-39.49693333,-39.97606667,-51.8652,-51.81713333,1.384,-12.60666667,-26.0696,0.284533333,26.96626667,27.57333333,6.252066667,390.1088,396.3607333,36.904,-41.70626667,-41.28986667,-52.7568,-52.33533333,1.493066667,-12.866,-28.70406667,4.655,402.5816667,11250.66667
25,1,25,2.364,68.84826667,71.21273333,0.212133333,26.96573333,27.10066667,6.2852,382.3266,388.6122,37.63033333,-39.3456,-39.91173333,-51.8452,-51.85146667,1.413,-12.608,-26.01426667,0.402866667,26.97393333,27.46266667,6.3564,386.3498,392.7060667,37.31233333,-41.35393333,-41.05653333,-52.60913333,-52.237,1.4974,-12.84766667,-28.1174,4.657666667,377.151,11446.66667
26,1,26,2.398333333,72.38193333,74.7804,-0.061866667,26.9744,27.38366667,6.226866667,380.9202667,387.1472,37.84866667,-39.30426667,-39.91406667,-51.87853333,-51.83546667,1.571666667,-12.60933333,-26.1916,0.047533333,26.96626667,27.81,6.249733333,384.8928,391.1424,37.393,-41.1896,-41.0522,-52.70813333,-52.35733333,1.651733333,-12.839,-28.83506667,4.651666667,385.4506667,34577
